Model,num_products,Method,Mode,TP,FP,FN,Precision,Recall,F1,raw_calls
Claude Sonnet 4.5 OLD PROMPT,20,Exact Match,No Role,4497,257,368,0.94594,0.92436,0.93502,
Claude Sonnet 4.5 OLD PROMPT,20,Exact Match,With Role,4348,516,608,0.89391,0.87732,0.88554,
Gemma 4 12b,20,Exact Match,No Role,3568,1122,1297,0.76077,0.73340,0.74683,1254
Gemma 4 12b,20,Exact Match,With Role,2983,1866,1973,0.61518,0.60190,0.60847,1254
GPT 5.2 OLD PROMPT,20,Exact Match,No Role,4418,216,447,0.95339,0.90812,0.93020,
GPT 5.2 OLD PROMPT,20,Exact Match,With Role,4145,580,811,0.87725,0.83636,0.85632,
GPT 5.2,20,Exact Match,No Role,4414,247,451,0.94701,0.90730,0.92673,1254
GPT 5.2,20,Exact Match,With Role,4170,595,786,0.87513,0.84140,0.85794,1254
GPT Sol Reasoning,6,Exact Match,No Role,2157,94,159,0.95824,0.93135,0.94460,
GPT Sol Reasoning,6,Exact Match,With Role,2101,197,255,0.91427,0.89177,0.90288,
GPT Sol Standard,20,Exact Match,No Role,4563,198,302,0.95841,0.93792,0.94806,1254
GPT Sol Standard,20,Exact Match,With Role,4437,423,519,0.91296,0.89528,0.90403,1254
GPT Terra Standard,20,Exact Match,No Role,4359,375,506,0.92079,0.89599,0.90822,1254
GPT Terra Standard,20,Exact Match,With Role,4210,635,746,0.86894,0.84948,0.85910,1254
GPT Sol Standard NAIVE,20,Exact Match,No Role,4808,585,57,0.89153,0.98828,0.93741,6582
GPT Sol Standard NAIVE,20,Exact Match,With Role,4729,1030,227,0.82115,0.95420,0.88269,6582
